,date,location,ratio
65352,2021/2/3,North Carolina,0.01384083
65242,2021/2/4,North Carolina,0.021832718
65132,2021/2/5,North Carolina,0.022869864
65022,2021/2/6,North Carolina,0.019990249
64912,2021/2/7,North Carolina,0.012591575
64802,2021/2/8,North Carolina,0.004493605
64692,2021/2/9,North Carolina,0.014299803
64582,2021/2/10,North Carolina,0.038132081
64472,2021/2/11,North Carolina,0.023907846
64362,2021/2/12,North Carolina,0.017747104
64252,2021/2/13,North Carolina,0.020909862
64142,2021/2/14,North Carolina,0.01504837
64032,2021/2/15,North Carolina,0.006666667
63922,2021/2/16,North Carolina,0.028783253
63812,2021/2/17,North Carolina,0.034272141
63702,2021/2/18,North Carolina,0.023051867
63592,2021/2/19,North Carolina,0.018420231
63482,2021/2/20,North Carolina,0.021009721
63372,2021/2/21,North Carolina,0.012980769
63262,2021/2/22,North Carolina,0.007065824
63152,2021/2/23,North Carolina,0.019770408
63042,2021/2/24,North Carolina,0.028113664
62932,2021/2/25,North Carolina,0.018054747
62822,2021/2/26,North Carolina,0.019223923
62712,2021/2/27,North Carolina,0.010327022
62602,2021/2/28,North Carolina,0
62492,2021/3/1,North Carolina,0.013420817
62382,2021/3/2,North Carolina,0.019144144
62272,2021/3/3,North Carolina,0.033349444
62162,2021/3/4,North Carolina,0.017051914
62052,2021/3/5,North Carolina,0.020068527
61942,2021/3/6,North Carolina,0.02553916
61832,2021/3/7,North Carolina,0
61722,2021/3/8,North Carolina,0.012155881
61612,2021/3/9,North Carolina,0.016853933
61502,2021/3/10,North Carolina,0.028099174
61392,2021/3/11,North Carolina,0.010081613
61282,2021/3/12,North Carolina,0.019847328
61172,2021/3/13,North Carolina,0.034440344
61062,2021/3/14,North Carolina,0
60952,2021/3/15,North Carolina,0.006422608
60842,2021/3/16,North Carolina,0.007799443
60732,2021/3/17,North Carolina,0.017783047
60622,2021/3/18,North Carolina,0.012451696
60512,2021/3/19,North Carolina,0.011844332
60402,2021/3/20,North Carolina,0.008291874
60292,2021/3/21,North Carolina,0
60182,2021/3/22,North Carolina,0.005502063
60072,2021/3/23,North Carolina,0.010458568
59962,2021/3/24,North Carolina,0.046996124
59852,2021/3/25,North Carolina,0.0243309
59742,2021/3/26,North Carolina,0.011401425
59632,2021/3/27,North Carolina,0
59522,2021/3/28,North Carolina,0
59412,2021/3/29,North Carolina,0.011225266
59302,2021/3/30,North Carolina,0.00402955
59192,2021/3/31,North Carolina,0.010819165
59082,2021/4/1,North Carolina,0.011397423
58972,2021/4/2,North Carolina,0
58862,2021/4/3,North Carolina,0
58752,2021/4/4,North Carolina,0
58642,2021/4/5,North Carolina,0.006369427
58532,2021/4/6,North Carolina,0.011066398
58422,2021/4/7,North Carolina,0.017278618
58312,2021/4/8,North Carolina,0.007411067
58202,2021/4/9,North Carolina,0.010105448
58092,2021/4/10,North Carolina,0
57982,2021/4/11,North Carolina,0.02020202
57872,2021/4/12,North Carolina,0.00772879
57762,2021/4/13,North Carolina,0.009386733
57652,2021/4/14,North Carolina,0.007666099
57542,2021/4/15,North Carolina,0.013722127
57432,2021/4/16,North Carolina,0.012564991
57322,2021/4/17,North Carolina,0
57212,2021/4/18,North Carolina,0
57102,2021/4/19,North Carolina,0.004803416
56992,2021/4/20,North Carolina,0.013178295
56882,2021/4/21,North Carolina,0.022321429
56772,2021/4/22,North Carolina,0.014536127
56662,2021/4/23,North Carolina,0.009027081
56552,2021/4/24,North Carolina,0.005405405
56442,2021/4/25,North Carolina,0
56332,2021/4/26,North Carolina,0.006789137
56222,2021/4/27,North Carolina,0.014687882
56112,2021/4/28,North Carolina,0.017366947
56002,2021/4/29,North Carolina,0.008226221
55892,2021/4/30,North Carolina,0.007975188
55782,2021/5/1,North Carolina,0.013513514
55672,2021/5/2,North Carolina,0
55562,2021/5/3,North Carolina,0.009093084
55452,2021/5/4,North Carolina,0.006628003
55342,2021/5/5,North Carolina,0.014925373
55232,2021/5/6,North Carolina,0.009090909
55122,2021/5/7,North Carolina,0.023105857
55012,2021/5/8,North Carolina,-0.00621118
54902,2021/5/9,North Carolina,0
54792,2021/5/10,North Carolina,0.003344482
54682,2021/5/11,North Carolina,0.01179941
54572,2021/5/12,North Carolina,0.018918919
54462,2021/5/13,North Carolina,0.016260163
54352,2021/5/14,North Carolina,0.006578947
54242,2021/5/15,North Carolina,0
54132,2021/5/16,North Carolina,0
54022,2021/5/17,North Carolina,0.012468828
53912,2021/5/18,North Carolina,0.027496382
53802,2021/5/19,North Carolina,0.028688525
53692,2021/5/20,North Carolina,0.010752688
53582,2021/5/21,North Carolina,0.007393715
53472,2021/5/22,North Carolina,0.015873016
53362,2021/5/23,North Carolina,0
53252,2021/5/24,North Carolina,0.012109921
53142,2021/5/25,North Carolina,0.024853801
53032,2021/5/26,North Carolina,0.033665835
52922,2021/5/27,North Carolina,0.023230088
52812,2021/5/28,North Carolina,0.032509753
52702,2021/5/29,North Carolina,0.125
52592,2021/5/30,North Carolina,0
52482,2021/5/31,North Carolina,0
52372,2021/6/1,North Carolina,0.008947368
52262,2021/6/2,North Carolina,0.02195122
52152,2021/6/3,North Carolina,0.040322581
52042,2021/6/4,North Carolina,0.031484258
51932,2021/6/5,North Carolina,0
51822,2021/6/6,North Carolina,0
51712,2021/6/7,North Carolina,0.038992689
51602,2021/6/8,North Carolina,0.036414566
51492,2021/6/9,North Carolina,0.041666667
51382,2021/6/10,North Carolina,0.034115139
51272,2021/6/11,North Carolina,0.045130641
51162,2021/6/12,North Carolina,0
51052,2021/6/13,North Carolina,0
50942,2021/6/14,North Carolina,0.021126761
50832,2021/6/15,North Carolina,0.015337423
50722,2021/6/16,North Carolina,0.048571429
50612,2021/6/17,North Carolina,0.015306122
50502,2021/6/18,North Carolina,0.104166667
50392,2021/6/19,North Carolina,0
50282,2021/6/20,North Carolina,0
50172,2021/6/21,North Carolina,0.037292818
50062,2021/6/22,North Carolina,0.044510386
49952,2021/6/23,North Carolina,0.026030369
49842,2021/6/24,North Carolina,0.029411765
49732,2021/6/25,North Carolina,0.015151515
49622,2021/6/26,North Carolina,0
49512,2021/6/27,North Carolina,0
49402,2021/6/28,North Carolina,0.008235294
49292,2021/6/29,North Carolina,0.016949153
49182,2021/6/30,North Carolina,0.022875817
49072,2021/7/1,North Carolina,-0.010526316
48962,2021/7/2,North Carolina,0
48852,2021/7/3,North Carolina,0
48742,2021/7/4,North Carolina,0
48632,2021/7/5,North Carolina,0
48522,2021/7/6,North Carolina,0.015849057
48412,2021/7/7,North Carolina,0.00877193
48302,2021/7/8,North Carolina,0.023364486
48192,2021/7/9,North Carolina,0.014678899
48082,2021/7/10,North Carolina,0
47972,2021/7/11,North Carolina,0
47862,2021/7/12,North Carolina,0.009264621
47752,2021/7/13,North Carolina,0.00456621
47642,2021/7/14,North Carolina,0.007231405
47532,2021/7/15,North Carolina,0.006796117
47422,2021/7/16,North Carolina,0.003883495
47312,2021/7/17,North Carolina,0
47202,2021/7/18,North Carolina,0
47092,2021/7/19,North Carolina,0.00621118
46982,2021/7/20,North Carolina,0.007425743
46872,2021/7/21,North Carolina,0.00610998
46762,2021/7/22,North Carolina,0.00678733
46652,2021/7/23,North Carolina,0.004833837
46542,2021/7/24,North Carolina,0
46432,2021/7/25,North Carolina,0
46322,2021/7/26,North Carolina,0.000729129
46212,2021/7/27,North Carolina,0.005058169
46102,2021/7/28,North Carolina,0.006237817
45992,2021/7/29,North Carolina,0.00541028
45882,2021/7/30,North Carolina,0.005332497
45772,2021/7/31,North Carolina,0
45662,2021/8/1,North Carolina,0
45552,2021/8/2,North Carolina,0.003789793
45442,2021/8/3,North Carolina,0.004763525
45332,2021/8/4,North Carolina,0.006246282
45222,2021/8/5,North Carolina,0.005604858
45112,2021/8/6,North Carolina,0.002634468
45002,2021/8/7,North Carolina,0
44892,2021/8/8,North Carolina,0
44782,2021/8/9,North Carolina,0.001563669
44672,2021/8/10,North Carolina,0.00212917
44562,2021/8/11,North Carolina,0.004422111
44452,2021/8/12,North Carolina,0.002792321
44342,2021/8/13,North Carolina,0.002988197
44232,2021/8/14,North Carolina,0
44122,2021/8/15,North Carolina,0
44012,2021/8/16,North Carolina,0.003464453
43902,2021/8/17,North Carolina,0.004772234
